case,initial_qos,damping,iterations,final_residual,max_residual,converged
uniform,0.5,0.2,91,9.485685570354008e-10,0.499999999951537,True
uniform,0.5,0.35,50,4.47112125101512e-10,0.5968979121887582,True
uniform,0.5,0.5,200,0.31192541408581725,0.6812247832785783,False
uniform,0.75,0.2,88,9.263365630118869e-10,0.6999640070621799,True
uniform,0.75,0.35,47,8.034550802449303e-10,0.6999640070621799,True
uniform,0.75,0.5,200,0.3119254140858172,0.6999640070621799,False
uniform,1.0,0.2,65,8.454431599247414e-10,0.9781773765177244,True
uniform,1.0,0.35,52,8.320706346154338e-10,0.9781773765177244,True
uniform,1.0,0.5,200,0.31192541408581664,0.9781773765177244,False
dynamic_coarse,0.5,0.2,91,9.485685570354008e-10,0.49999999996424505,True
dynamic_coarse,0.5,0.35,48,8.051890265647899e-10,0.49999999996424505,True
dynamic_coarse,0.5,0.5,30,9.313225746154785e-10,0.49999999996424505,True
dynamic_coarse,0.75,0.2,88,9.263365630118869e-10,0.2499999999635356,True
dynamic_coarse,0.75,0.35,46,9.528863254004705e-10,0.2499999999635356,True
dynamic_coarse,0.75,0.5,29,9.313225746154785e-10,0.2499999999635356,True
dynamic_coarse,1.0,0.2,63,9.915976928454029e-10,0.05314509755262453,True
dynamic_coarse,1.0,0.35,33,8.521310324027809e-10,0.05314509755262453,True
dynamic_coarse,1.0,0.5,21,7.634577414705745e-10,0.05314509755262453,True
dynamic_fine,0.5,0.2,91,9.485685570354008e-10,0.4999999999573652,True
dynamic_fine,0.5,0.35,48,8.051889155424874e-10,0.4999999999573652,True
dynamic_fine,0.5,0.5,30,9.313225746154785e-10,0.4999999999573652,True
dynamic_fine,0.75,0.2,88,9.263365630118869e-10,0.24999999995657407,True
dynamic_fine,0.75,0.35,46,9.528863254004705e-10,0.24999999995657407,True
dynamic_fine,0.75,0.5,29,9.313225746154785e-10,0.24999999995657407,True
dynamic_fine,1.0,0.2,66,8.051898037209071e-10,0.011535826022800899,True
dynamic_fine,1.0,0.35,35,6.441621680508547e-10,0.011535826022800899,True
dynamic_fine,1.0,0.5,22,6.323780388228784e-10,0.011535826022800899,True
