scenario,group,value,uniform_full_grid_verified,dynamic_full_grid_verified,uniform_full_max_regret,dynamic_full_max_regret,dynamic_relative_regret,maximum_joint_residual,dynamic_total_demand,uniform_aggregate_peak,dynamic_aggregate_peak,aggregate_peak_change_percent,uniform_max_provider_utilization,dynamic_max_provider_utilization,max_provider_utilization_change_percent,uniform_minimum_qos,dynamic_minimum_qos,minimum_qos_change,uniform_system_profit,dynamic_system_profit,system_profit_change_percent,dynamic_evaluated_pairs
baseline,baseline,1.0,True,True,0.0,0.0,0.0,6.627055570973539e-10,1100.0,224.47997233937303,195.22615639573417,-13.031815550748734,1.4553287519215161,1.2067074688329686,-17.083513450846414,0.8876738460631972,0.9757429427078412,0.08806909664464402,1972.51938041049,2155.0755477059784,9.25497458268307,2445
capacity_low,capacity_scale,0.85,True,True,0.0,0.0,0.0,9.871483630519151e-10,1100.0,224.17474369903886,195.26327032040547,-12.896846853295788,1.5703174737170937,1.3676475046785728,-12.906305408344052,0.8295012614215327,0.9252602665903876,0.09575900516885494,3376.3139482828005,2125.9090380303132,-37.03461613480718,449
capacity_high,capacity_scale,1.15,True,True,0.0,0.0,0.0,9.09074815425015e-10,1100.0,225.69677556290347,216.1479742909284,-4.230809788114913,1.3174900695937168,1.0636665609221998,-19.265686666601614,0.9437155120299535,0.9976731724934869,0.05395766046353334,1998.898086402712,2056.4186506940428,2.877613655373842,1341
price_sensitivity_low,price_sensitivity_scale,0.8,True,True,0.0,0.0,0.0,8.483231894729215e-10,1100.0,224.9553437759717,194.44385689211316,-13.563352784472764,1.4297880899109303,1.2798514799949614,-10.486631618627436,0.8992818515531671,0.9559885799219712,0.05670672836880408,3450.2732599627843,2239.358257982041,-35.09620574208678,673
price_sensitivity_high,price_sensitivity_scale,1.2,True,True,0.0,0.0,0.0,7.523528466890639e-10,1100.0,224.43992057315623,208.81212545290282,-6.963019359632827,1.4575886137848129,1.1922554807788508,-18.20356789951803,0.8866219895100526,0.9789815814042263,0.09235959189417375,1940.4762886895953,2021.0945118767982,4.154558530660757,1341
migration_cost_low,migration_cost_scale,0.7,True,True,0.0,0.0,0.0,9.789544730409716e-10,1100.0,224.86100646318678,192.69009708745244,-14.307020092877337,1.4570693408029018,1.2077372008488125,-17.11189254841486,0.8868640364088918,0.9755036545367283,0.0886396181278365,1973.350407809585,2148.1485457468348,8.85793710257852,896
migration_cost_high,migration_cost_scale,1.3,True,True,0.0,0.0,0.0,6.679068409454203e-10,1100.0,224.25403835483573,195.76028708766216,-12.706014784040628,1.454295210854782,1.212484530178227,-16.62734490712016,0.8881535878444928,0.9743858786314373,0.0862322907869445,1971.6508409852718,2157.273609936503,9.414586248875175,449
qos_threshold_low,qos_threshold,-0.05,True,True,0.0,0.0,0.0,7.647045219272286e-10,1100.0,224.79710778281577,195.22966038284778,-13.152948314857376,1.4105067185035314,1.1974819999997557,-15.102708530859248,0.8852579090277866,0.9654129619286566,0.08015505290087,3431.418817252869,2146.907431367101,-37.43382706381859,449
qos_threshold_high,qos_threshold,0.05,True,True,0.0,0.0,0.0,8.322863509491185e-10,1100.0,224.72927889492337,195.21368126430554,-13.133846099518895,1.4711405091169747,1.2147536150115588,-17.427763868680874,0.9030929426356219,0.9845213163030576,0.08142837366743572,1985.46705079492,2160.9720746735225,8.839483073180977,896
