policy,mechanism,temporal_enabled,spatial_enabled,converged,fixed_point_iterations,fixed_point_residual,rigid_centroid,elastic_centroid,aggregate_peak_load,aggregate_peak_to_average,maximum_provider_utilization,provider_utilization_imbalance,minimum_provider_qos,temporal_moved_fraction,total_demand,aggregate_peak_change_vs_neither,provider_peak_change_vs_neither,minimum_qos_change_vs_neither
uniform,neither,False,False,True,44,9.726213168192999e-10,5.37092731829574,4.830607831400882,217.11314118517146,1.5790046631648833,0.7495572731392826,0.32566971177775733,0.8921874144758926,0.0,1100.0,0.0,0.0,0.0
uniform,temporal_only,True,False,True,38,8.281295649226195e-10,5.37092731829574,4.799418232833224,215.4549920539656,1.5669453967561136,0.7438327106625003,0.3231824880809484,0.9076286696763776,0.3186892136019124,1100.0,-1.658149131205846,-0.005724562476782213,0.015441255200485005
uniform,spatial_only,False,True,True,35,9.80133418870821e-10,5.37092731829574,4.830607831400882,217.11314118517146,1.5790046631648833,0.7734206070956842,0.38439670054268005,0.801768088984456,0.0,1100.0,0.0,0.02386333395640161,-0.09041932549143661
uniform,combined,True,True,True,35,7.681447700136346e-10,5.37092731829574,4.797825645291396,213.68734494490374,1.5540897814174817,0.7688882657354371,0.38297590620587435,0.8224962266806013,0.31863890321855737,1100.0,-3.425796240267715,0.01933099259615456,-0.06969118779529127
symmetric_tou,neither,False,False,True,44,9.726213168192999e-10,5.37092731829574,4.830607831400882,217.11314118517146,1.5790046631648833,0.7495572731392826,0.32566971177775733,0.8921874144758926,0.0,1100.0,0.0,0.0,0.0
symmetric_tou,temporal_only,True,False,True,37,9.471834427898784e-10,5.37092731829574,4.738648981498837,188.63991597672262,1.3719266616488919,0.6512568527767805,0.28295987396508393,0.9937088137144661,0.3260767329760597,1100.0,-28.473225208448838,-0.09830042036250208,0.1015213992385735
symmetric_tou,spatial_only,False,True,True,35,9.605566342330008e-10,5.37092731829574,4.830607831400882,217.11314118517146,1.5790046631648833,0.7753957420569547,0.38823936223120586,0.7921818800797402,0.0,1100.0,0.0,0.025838468917672164,-0.10000553439615234
symmetric_tou,combined,True,True,True,34,9.344337525973856e-10,5.37092731829574,4.739259972346805,188.44802156747318,1.3705310659452594,0.7239979689189034,0.38543708459488757,0.9468519300886038,0.3259186596235173,1100.0,-28.66511961769828,-0.02555930422037911,0.05466451561271124
asymmetric_capacity_balance,neither,False,False,True,44,9.726213168192999e-10,5.37092731829574,4.830607831400882,217.11314118517146,1.5790046631648833,0.7495572731392826,0.32566971177775733,0.8921874144758926,0.0,1100.0,0.0,0.0,0.0
asymmetric_capacity_balance,temporal_only,True,False,True,38,9.624494534676842e-10,5.37092731829574,4.794969134119639,214.0362543138518,1.5566273041007403,0.7389346875121074,0.32105438147077775,0.9192321257312954,0.3187218469958511,1100.0,-3.076886871319658,-0.010622585627175107,0.027044711255402865
asymmetric_capacity_balance,spatial_only,False,True,True,31,6.657220330552605e-10,5.37092731829574,4.830607831400882,217.11314118517151,1.5790046631648837,0.5475013301964501,0.3246100795765385,0.9997184622557405,0.0,1100.0,5.684341886080802e-14,-0.20205594294283247,0.1075310477798479
asymmetric_capacity_balance,combined,True,True,True,31,7.664821000119559e-10,5.37092731829574,4.781381793930292,219.7154408341283,1.5979304787936603,0.552566643222198,0.3764633195850403,0.9996722733965426,0.3193732152602788,1100.0,2.60229964895683,-0.1969906299170846,0.10748485892065007
